"","OR","p","sig"
"(Intercept)","0.03 (0.02-0.04)","6.01345016055953e-48","***"
"Year","1.05 (0.99-1.12)","0.116834246264693",""
"E_1_PsychHx","2.84 (2.25-3.58)","1.00961034627808e-18","***"
"D_1_occu","1.13 (0.96-1.34)","0.15046318681667",""
"D_1_school","1.25 (1.02-1.53)","0.0303939086371969","*"
"D_2_SocGather","1.07 (1.03-1.12)","0.00165247306879024","**"
"D_4_Needs","1.07 (1.03-1.11)","0.000985126469996596","***"
"E_2_a_Vuln","1.48 (1.34-1.62)","1.37233114883757e-15","***"
"F_1","1.22 (1.15-1.29)","3.57982526034591e-11","***"
"F_2_Violence","1.34 (1.21-1.48)","5.29592433921417e-09","***"
"F_3_b_i_Transport","0.77 (0.64-0.92)","0.00389549540998649","**"
"F_3_b_i_MedAppt","1.36 (0.91-2.03)","0.135568614661922",""
"F_3_b_ii_Phy","1.43 (1.17-1.74)","0.000397757130750575","***"
